transaction_id,transaction_ts,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,channel,review_rating,promo_meta_json,is_returned,pre_tax_amount,tax_rate,tax_amount,total_amount
22,2024-04-27 14:43:00,7,163,49,3,39.51,0.0,MobilePay,InStore,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,118.53,0.04,4.74,123.27
23,2024-08-15 16:46:00,9,22,57,1,27.29,0.0,Cash,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",0,27.29,0.0,0.0,27.29
24,2025-07-24 19:36:00,6,40,52,1,9.8,0.0,Card,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",0,9.8,0.07,0.69,10.49
25,2024-12-31 19:34:00,9,75,14,1,12.75,0.0,Card,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,12.75,0.07,0.89,13.64
26,2024-09-28 12:13:00,7,173,43,1,22.64,0.1,Cash,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,20.38,0.1,2.04,22.42
27,2025-03-12 16:33:00,7,55,10,2,61.68,0.05,Card,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,117.19,0.1,11.72,128.91
28,2024-12-26 15:48:00,7,90,36,2,41.7,0.0,GiftCard,Online,5.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,83.4,0.07,5.84,89.24
29,2024-11-19 17:22:00,10,230,57,1,25.89,0.05,Cash,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,24.6,0.0,0.0,24.6
30,2025-07-13 14:03:00,1,201,38,1,44.88,0.2,Card,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",1,35.9,0.1,3.59,39.49
31,2025-05-03 18:35:00,3,17,56,3,58.94,0.15,Card,ClickAndCollect,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,150.3,0.07,10.52,160.82
32,2025-02-20 16:22:00,8,37,45,2,52.81,0.1,MobilePay,Online,5.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,95.06,0.04,3.8,98.86
33,2025-01-18 17:11:00,2,8,37,3,12.11,0.15,Card,InStore,5.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,30.88,0.07,2.16,33.04
34,2025-03-16 20:40:00,7,246,20,1,16.68,0.0,Card,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,16.68,0.0,0.0,16.68
35,2024-01-13 09:39:00,9,171,19,2,73.74,0.0,GiftCard,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,147.48,0.07,10.32,157.8
36,2025-05-16 20:10:00,11,138,14,1,13.42,0.05,Cash,InStore,5.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,12.75,0.07,0.89,13.64
37,2024-02-18 19:42:00,2,118,35,5,42.12,0.0,GiftCard,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,210.6,0.04,8.42,219.02
38,2025-03-25 09:57:00,2,17,18,3,19.95,0.0,GiftCard,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,59.85,0.07,4.19,64.04
39,2025-02-07 18:39:00,5,69,6,1,6.12,0.0,MobilePay,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,6.12,0.07,0.43,6.55
40,2024-03-25 12:52:00,9,126,35,1,36.15,0.1,Card,Online,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",0,32.53,0.04,1.3,33.83
41,2025-07-28 19:04:00,3,83,52,2,9.77,0.1,Card,InStore,1.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,17.59,0.07,1.23,18.82
42,2025-02-04 20:18:00,7,171,26,3,54.18,0.2,Card,InStore,,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,130.03,0.04,5.2,135.23
43,2025-01-01 18:49:00,11,93,50,2,55.42,0.0,Cash,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,110.84,0.1,11.08,121.92
44,2024-02-08 19:53:00,6,98,44,1,16.02,0.0,MobilePay,InStore,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,16.02,0.1,1.6,17.62
45,2024-07-25 12:46:00,9,158,15,1,30.19,0.0,Card,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,30.19,0.07,2.11,32.3
46,2024-02-14 13:42:00,7,49,4,1,58.48,0.0,Card,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,58.48,0.04,2.34,60.82
47,2025-01-14 16:08:00,9,49,31,3,23.95,0.1,Card,Online,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,64.66,0.07,4.53,69.19
48,2025-01-02 15:21:00,1,61,5,2,63.07,0.1,Card,Online,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""None""}",0,113.53,0.1,11.35,124.88
49,2025-03-12 12:28:00,11,183,42,2,43.11,0.0,Card,ClickAndCollect,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,86.22,0.07,6.04,92.26
50,2025-03-25 14:01:00,6,20,40,2,50.47,0.0,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,100.94,0.07,7.07,108.01
51,2025-06-21 12:36:00,8,110,33,4,36.71,0.1,Card,InStore,5.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,132.16,0.04,5.29,137.45
52,2025-05-30 12:59:00,1,81,21,1,34.66,0.0,Card,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,34.66,0.07,2.43,37.09
53,2024-07-05 10:12:00,2,246,27,1,13.32,0.05,Card,Online,,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,12.65,0.07,0.89,13.54
54,2025-08-28 10:37:00,8,63,37,1,14.82,0.2,MobilePay,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,11.86,0.07,0.83,12.69
55,2025-01-05 09:51:00,2,89,44,3,16.48,0.0,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,49.44,0.1,4.94,54.38
56,2024-05-22 14:39:00,5,186,58,3,8.66,0.0,Card,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",1,25.98,0.07,1.82,27.8
57,2025-01-19 12:39:00,1,50,36,2,40.13,0.15,Card,Online,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,68.22,0.07,4.78,73.0
58,2024-07-08 18:02:00,6,248,46,1,2.08,0.15,Card,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",1,1.77,0.07,0.12,1.89
59,2024-03-16 12:20:00,8,119,20,3,18.97,0.0,Card,InStore,2.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,56.91,0.0,0.0,56.91
60,2024-03-30 12:18:00,10,22,31,1,25.4,0.05,Card,ClickAndCollect,1.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,24.13,0.07,1.69,25.82
61,2024-06-07 14:15:00,12,10,46,2,2.3,0.0,MobilePay,InStore,4.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,4.6,0.07,0.32,4.92
62,2024-07-03 12:20:00,4,164,3,2,33.33,0.05,MobilePay,InStore,1.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,63.33,0.04,2.53,65.86
63,2025-04-06 20:11:00,6,84,29,2,33.21,0.0,Cash,InStore,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,66.42,0.1,6.64,73.06
64,2024-10-02 17:53:00,12,110,36,2,41.76,0.1,Card,ClickAndCollect,1.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,75.17,0.07,5.26,80.43
65,2024-04-25 16:23:00,11,132,42,2,44.13,0.0,Cash,InStore,1.0,"{""coupon"": ""WELCOME10"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,88.26,0.07,6.18,94.44
66,2025-09-26 20:37:00,2,117,49,2,33.56,0.05,Cash,InStore,1.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,63.76,0.04,2.55,66.31
67,2024-12-29 17:21:00,9,240,37,1,13.64,0.05,Cash,ClickAndCollect,1.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,12.96,0.07,0.91,13.87
68,2025-03-03 14:44:00,2,76,11,1,1.68,0.0,Cash,InStore,5.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,1.68,0.04,0.07,1.75
69,2024-08-20 13:53:00,9,109,14,2,10.42,0.05,MobilePay,Online,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",0,19.8,0.07,1.39,21.19
70,2025-02-04 16:08:00,4,249,49,2,38.59,0.1,Cash,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,69.46,0.04,2.78,72.24
71,2024-06-02 20:54:00,3,188,56,5,61.23,0.0,Card,ClickAndCollect,5.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,306.15,0.07,21.43,327.58
72,2024-09-26 19:15:00,6,56,22,1,6.64,0.1,Card,Online,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,5.98,0.1,0.6,6.58
73,2024-06-20 10:57:00,8,89,10,1,50.67,0.0,Card,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""None""}",0,50.67,0.1,5.07,55.74
74,2024-09-29 12:02:00,10,39,15,2,23.67,0.0,MobilePay,Online,4.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,47.34,0.07,3.31,50.65
75,2024-05-25 16:25:00,1,165,48,5,44.95,0.05,GiftCard,InStore,5.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,213.51,0.07,14.95,228.46
76,2024-03-05 15:02:00,10,78,8,2,4.54,0.0,MobilePay,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,9.08,0.04,0.36,9.44
77,2024-10-13 17:13:00,10,152,3,4,35.62,0.15,Card,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,121.11,0.04,4.84,125.95
78,2024-05-11 12:25:00,10,154,10,5,62.87,0.0,Cash,InStore,1.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,314.35,0.1,31.44,345.79
79,2025-02-01 11:54:00,1,198,22,4,7.48,0.0,Card,Online,5.0,"{""coupon"": ""WELCOME10"", ""bundle"": true, ""campaign"": ""None""}",0,29.92,0.1,2.99,32.91
80,2024-01-14 14:16:00,6,154,24,3,13.83,0.0,MobilePay,Online,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,41.49,0.04,1.66,43.15
81,2024-10-20 10:52:00,5,210,16,2,37.76,0.1,Card,InStore,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,67.97,0.07,4.76,72.73
82,2025-06-13 12:39:00,5,221,55,3,17.17,0.0,Card,InStore,,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,51.51,0.07,3.61,55.12
83,2025-02-12 19:23:00,4,76,21,1,42.26,0.0,Card,InStore,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,42.26,0.07,2.96,45.22
84,2024-06-18 13:57:00,11,68,10,2,51.94,0.0,MobilePay,InStore,,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,103.88,0.1,10.39,114.27
85,2024-12-23 18:41:00,1,117,4,1,64.0,0.0,MobilePay,InStore,5.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,64.0,0.04,2.56,66.56
86,2024-11-24 09:28:00,12,103,52,1,8.58,0.0,Card,Online,1.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""BackToSchool""}",0,8.58,0.07,0.6,9.18
87,2025-08-06 13:49:00,6,242,21,2,36.05,0.0,GiftCard,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,72.1,0.07,5.05,77.15
88,2025-05-29 12:38:00,6,218,33,1,33.65,0.0,Card,Online,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": true, ""campaign"": ""SpringSale""}",1,33.65,0.04,1.35,35.0
89,2025-05-07 17:15:00,12,176,43,2,22.58,0.0,MobilePay,InStore,2.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,45.16,0.1,4.52,49.68
90,2025-01-09 12:53:00,5,202,58,1,7.98,0.05,MobilePay,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,7.58,0.07,0.53,8.11
91,2025-05-09 09:42:00,1,117,41,3,39.43,0.0,Card,InStore,,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,118.29,0.0,0.0,118.29
92,2024-08-08 10:22:00,11,68,5,2,59.59,0.0,MobilePay,InStore,1.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,119.18,0.1,11.92,131.1
93,2024-02-08 11:58:00,1,59,14,3,13.06,0.05,GiftCard,InStore,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,37.22,0.07,2.61,39.83
94,2025-01-22 10:11:00,5,236,21,2,33.15,0.05,Card,ClickAndCollect,,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,62.98,0.07,4.41,67.39
95,2025-04-18 19:14:00,8,30,55,1,16.78,0.0,MobilePay,ClickAndCollect,2.0,"{""coupon"": ""LOYAL5"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,16.78,0.07,1.17,17.95
96,2024-07-29 14:50:00,10,157,9,1,2.4,0.0,MobilePay,InStore,,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,2.4,0.1,0.24,2.64
97,2025-03-30 17:37:00,10,195,57,1,30.61,0.0,MobilePay,InStore,1.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,30.61,0.0,0.0,30.61
98,2025-02-08 13:33:00,3,1,10,4,56.79,0.1,MobilePay,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""None""}",0,204.44,0.1,20.44,224.88
99,2024-07-23 12:09:00,6,161,30,1,19.66,0.0,Cash,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,19.66,0.04,0.79,20.45
100,2025-06-06 20:34:00,12,137,19,1,61.14,0.15,Card,InStore,4.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,51.97,0.07,3.64,55.61
101,2025-03-08 09:42:00,9,9,13,4,30.17,0.0,GiftCard,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,120.68,0.1,12.07,132.75
102,2025-06-01 16:27:00,2,49,16,3,34.58,0.1,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,93.37,0.07,6.54,99.91
103,2025-04-20 09:09:00,11,107,22,1,7.74,0.2,Card,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,6.19,0.1,0.62,6.81
104,2024-07-01 12:56:00,5,113,13,2,39.24,0.0,Card,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,78.48,0.1,7.85,86.33
105,2025-01-26 19:24:00,1,207,21,1,29.7,0.0,MobilePay,InStore,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,29.7,0.07,2.08,31.78
106,2024-03-25 10:15:00,12,122,26,2,50.15,0.05,Card,InStore,2.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,95.28,0.04,3.81,99.09
107,2024-04-05 10:51:00,3,19,50,1,56.58,0.0,Card,InStore,1.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""None""}",0,56.58,0.1,5.66,62.24
108,2024-10-21 18:06:00,6,199,3,1,30.98,0.1,Card,Online,2.0,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,27.88,0.04,1.12,29.0
109,2024-11-21 10:21:00,8,220,34,1,55.33,0.0,Cash,Online,,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,55.33,0.07,3.87,59.2
110,2024-03-31 16:23:00,7,242,19,4,60.76,0.0,Card,Online,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,243.04,0.07,17.01,260.05
111,2024-10-13 18:58:00,5,29,17,3,57.99,0.0,Card,InStore,2.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""None""}",0,173.97,0.07,12.18,186.15
112,2025-03-06 18:00:00,2,88,11,1,1.9,0.0,Card,Online,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": true, ""campaign"": ""SpringSale""}",0,1.9,0.04,0.08,1.98
113,2025-01-27 15:47:00,10,61,30,1,19.91,0.05,Card,InStore,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,18.91,0.04,0.76,19.67
114,2025-01-03 18:54:00,2,21,26,1,47.01,0.2,Card,InStore,1.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,37.61,0.04,1.5,39.11
115,2025-03-20 16:41:00,3,169,44,1,13.35,0.05,Card,Online,4.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""BlackFriday""}",0,12.68,0.1,1.27,13.95
116,2024-07-28 10:16:00,4,112,24,2,12.96,0.05,Card,InStore,5.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,24.62,0.04,0.98,25.6
117,2024-09-20 15:11:00,1,203,44,1,13.99,0.05,Card,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,13.29,0.1,1.33,14.62
118,2024-11-24 16:46:00,10,1,7,4,54.68,0.0,MobilePay,ClickAndCollect,3.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,218.72,0.04,8.75,227.47
119,2024-03-12 15:44:00,4,213,45,1,53.5,0.05,MobilePay,InStore,3.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""None""}",0,50.82,0.04,2.03,52.85
120,2025-03-10 19:11:00,11,224,46,1,2.51,0.0,Cash,InStore,4.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,2.51,0.07,0.18,2.69
121,2024-05-28 18:21:00,4,17,12,2,39.52,0.0,Card,InStore,,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,79.04,0.07,5.53,84.57
122,2024-08-08 10:16:00,10,128,21,3,37.04,0.0,Card,ClickAndCollect,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,111.12,0.07,7.78,118.9
123,2024-02-29 17:58:00,3,15,21,2,38.35,0.0,Card,InStore,4.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,76.7,0.07,5.37,82.07
124,2024-06-29 15:01:00,4,158,57,1,24.1,0.0,Card,InStore,4.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""BlackFriday""}",0,24.1,0.0,0.0,24.1
125,2024-07-21 17:32:00,5,35,32,2,37.4,0.0,Card,Online,5.0,"{""coupon"": ""WEEKEND15"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,74.8,0.1,7.48,82.28
126,2025-01-22 11:59:00,3,156,45,1,61.57,0.0,Card,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": true, ""campaign"": ""None""}",0,61.57,0.04,2.46,64.03
127,2025-04-14 10:18:00,5,160,6,2,7.23,0.05,MobilePay,InStore,3.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,13.74,0.07,0.96,14.7
128,2025-05-04 13:58:00,8,249,48,4,41.14,0.05,Card,Online,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,156.33,0.07,10.94,167.27
129,2024-12-04 14:16:00,11,151,35,2,34.64,0.05,Card,InStore,3.0,"{""coupon"": ""WELCOME10"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,65.82,0.04,2.63,68.45
130,2025-09-03 11:02:00,11,82,37,1,13.08,0.0,Card,InStore,4.0,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""SpringSale""}",0,13.08,0.07,0.92,14.0
131,2024-05-22 20:36:00,6,95,35,1,34.64,0.0,Cash,InStore,4.0,"{""coupon"": ""LOYAL5"", ""bundle"": false, ""campaign"": ""None""}",0,34.64,0.04,1.39,36.03
132,2024-08-10 11:59:00,7,40,48,2,44.8,0.0,Card,InStore,,"{""coupon"": ""NONE"", ""bundle"": false, ""campaign"": ""BackToSchool""}",0,89.6,0.07,6.27,95.87
